============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar+Mylar+Mylar( 14.3 um) ========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  157  2 .3693561E+07   1440021E-01 -.5047E+03  .2004E+03   .9999869 -.0050970  .0005188
T  158  2 .3653410E+07   1440017E-01 -.4306E+03 -.9977E+02   .9998892 -.0085425 -.0121915
T  159  2 .3649489E+07   1440000E-01  .1830E+04  .1696E+03   .9998124  .0187096  .0050108
T  160  2 .3711336E+07   1440010E-01 -.1487E+03  .2944E+03   .9998943  .0049003  .0136853
T  161  2 .3673895E+07   1440017E-01 -.1000E+05 -.2759E+04   .9963583 -.0826771 -.0208493
T  162  2 .3654163E+07   1440011E-01  .5105E+03 -.1193E+04   .9999747  .0044053 -.0055774
T  163  2 .3677958E+07   1440022E-01  .1046E+04 -.1125E+04   .9999082  .0112551 -.0075459
T  164  2 .3669036E+07   1440011E-01  .5708E+03 -.9265E+03   .9999107  .0130483  .0028854
T  165  2 .3692282E+07   1440016E-01 -.1141E+03 -.1939E+03   .9999144 -.0026780 -.0128068
T  166  2 .3661617E+07   1440003E-01  .2989E+04 -.1011E+04   .9994807  .0283749 -.0152694
T  167  2 .3660655E+07   1440008E-01 -.1787E+04 -.5830E+04   .9984751 -.0099428 -.0543019
T  168  2 .3682850E+07   1440017E-01  .3848E+03 -.6457E+03   .9999827  .0058860 -.0000291
T  169  2 .3658596E+07   1440020E-01  .7219E+03  .6156E+03   .9997501  .0086475  .0206139
T  170  2 .3704312E+07   1440019E-01  .8869E+02  .8378E+03   .9999226 -.0076587  .0098024
T  171  2 .3686229E+07   1440007E-01  .2965E+04  .2557E+04   .9983338  .0449211  .0362186
T  172  2 .3640908E+07   1440020E-01 -.8658E+02  .4135E+03   .9996474 -.0124390  .0234593
T  173  2 .3708819E+07   1440018E-01 -.1843E+03  .5958E+03   .9999978 -.0008663  .0019108
T  174  2 .3691893E+07   1440021E-01 -.4863E+02 -.1083E+04   .9999321  .0116543 -.0001729
T  175  2 .3625675E+07   1440001E-01 -.1371E+04  .3372E+02   .9998659 -.0163497 -.0008922
T  176  2 .3674354E+07   1440008E-01  .1504E+03  .8198E+02   .9999966 -.0015776  .0020671
T  177  2 .3668487E+07   1440020E-01  .4055E+03 -.1644E+03   .9999350  .0110007 -.0030097
T  178  2 .3674992E+07   1440021E-01  .1106E+02 -.8617E+03   .9999047 -.0093866 -.0101200
T  179  2 .3666706E+07   1440019E-01 -.1435E+04 -.1829E+03   .9998980 -.0134610 -.0047790
T  180  2 .3728380E+07   1440020E-01  .1058E+04  .6733E+03   .9999392  .0039972  .0102768
T  181  2 .3650692E+07   1440017E-01  .9395E+03 -.1074E+04   .9998756  .0054552 -.0148024
T  182  2 .3732986E+07   1440008E-01 -.4849E+02  .5664E+03   .9999781  .0000588  .0066189
T  183  2 .3659777E+07   1440015E-01  .5417E+03  .1739E+04   .9998076  .0080733  .0178785
T  184  2 .3669900E+07   1440018E-01 -.8662E+03 -.7050E+03   .9999466 -.0098856 -.0029985
T  185  2 .3709504E+07   1440022E-01  .6542E+03 -.1634E+03   .9992927 -.0055253 -.0371960
T  186  2 .3636931E+07   1440012E-01  .2522E+03 -.6035E+02   .9999804  .0058194 -.0023175
T  187  2 .3720092E+07   1440005E-01 -.1845E+04  .1104E+03   .9999247 -.0041281  .0115531
T  188  2 .3691679E+07   1440008E-01  .5788E+03 -.4089E+03   .9999866  .0040444 -.0032425
T  189  2 .3607157E+07   1440020E-01 -.1368E+05 -.1910E+05   .9843616 -.1020817 -.1435674
T  190  2 .3722430E+07   1440020E-01 -.1672E+04  .3949E+03   .9996312 -.0236361  .0133690
T  191  2 .3701953E+07   1440007E-01  .1594E+04 -.5441E+03   .9996431  .0237147 -.0122993
T  192  2 .3716479E+07   1440017E-01 -.2154E+04 -.7348E+03   .9996537 -.0230499 -.0126967
T  193  2 .3664217E+07   1440001E-01  .5902E+02  .6294E+03   .9999569  .0043207  .0082178
T  194  2 .3684913E+07   1440019E-01  .2961E+03 -.3613E+03   .9999850  .0033325 -.0043450
