============================== SRIM-2008.04 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar+Mylar( 7.19 um) ====================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  112  2 .4672702E+07   7200052E-02 -.4480E+02 -.1661E+02   .9999894 -.0000748  .0046028
T  113  2 .4632727E+07   7200060E-02  .4743E+02  .1681E+03   .9997809  .0001585  .0209337
T  114  2 .4653153E+07   7200066E-02 -.1071E+03 -.1329E+03   .9999309 -.0105660 -.0051554
T  115  2 .4662385E+07   7200202E-02  .3233E+03  .4093E+02   .9999190  .0126183  .0016806
T  116  2 .4621668E+07   7200177E-02  .1610E+03 -.1874E+03   .9999806  .0049789 -.0037376
T  117  2 .4657071E+07   7200139E-02  .1985E+03  .2449E+03   .9999952 -.0016397  .0026459
T  118  2 .4645239E+07   7200021E-02 -.1867E+03 -.1337E+03   .9999708 -.0058445 -.0049304
T  119  2 .4641743E+07   7200147E-02 -.1661E+03 -.1351E+03   .9999959 -.0021553 -.0018809
T  120  2 .4649586E+07   7200193E-02 -.9769E+02 -.2040E+03   .9999641 -.0029236 -.0079546
T  121  2 .4625433E+07   7200163E-02 -.3100E+03  .9878E+02   .9999788 -.0058251  .0029153
T  122  2 .4642386E+07   7200133E-02  .1737E+03  .2364E+03   .9999418  .0092307  .0055861
T  123  2 .4664026E+07   7200051E-02  .1052E+03  .1521E+03   .9999471  .0070441  .0075017
T  124  2 .4651618E+07   7200162E-02  .1447E+03  .2067E+03   .9999752  .0010920  .0069589
T  125  2 .4640858E+07   7200146E-02 -.3465E+03 -.2431E+03   .9999001 -.0096271 -.0103518
T  126  2 .4645921E+07   7200002E-02  .2060E+03  .8758E+02   .9999203  .0091726  .0086751
T  127  2 .4617107E+07   7200054E-02 -.1168E+04 -.3315E+03   .9997394 -.0202999 -.0104394
T  128  2 .4646679E+07   7200175E-02  .4831E+03  .3439E+03   .9999441  .0068510  .0080556
T  129  2 .4647085E+07   7200177E-02  .1109E+03  .2520E+02   .9999950  .0010355  .0029802
T  130  2 .4668205E+07   7200098E-02 -.5644E+03 -.1888E+03   .9998382 -.0179865  .0002284
T  131  2 .4642494E+07   7200125E-02  .7075E+02 -.6348E+02   .9999757  .0049543 -.0049138
T  132  2 .4648456E+07   7200032E-02 -.3455E+02  .9945E+02   .9999965  .0020879  .0015970
T  133  2 .4604004E+07   7200156E-02  .2548E+03 -.1323E+02   .9999917  .0035398 -.0020284
T  134  2 .4663994E+07   7200131E-02 -.3801E+03  .4914E+02   .9999827 -.0043589  .0039560
T  135  2 .4666245E+07   7200114E-02 -.1706E+03 -.5776E+02   .9999850  .0005366  .0054487
T  136  2 .4640642E+07   7200201E-02 -.1501E+03  .2315E+03   .9999921 -.0012145  .0037857
T  137  2 .4635874E+07   7200146E-02  .2126E+03  .9804E+02   .9999964  .0021337  .0016240
T  138  2 .4679089E+07   7200130E-02  .7107E+03 -.1730E+03   .9999046  .0114932 -.0076612
T  139  2 .4678004E+07   7200113E-02 -.6546E+03 -.2848E+02   .9999261 -.0106374  .0058911
T  140  2 .4641228E+07   7200162E-02 -.8902E+02 -.2754E+03   .9999457 -.0071372 -.0075898
T  141  2 .4625306E+07   7200144E-02  .8896E+01  .2849E+03   .9999633  .0065314  .0055469
T  142  2 .4667858E+07   7200202E-02 -.1723E+03  .1532E+03   .9999877 -.0028139  .0040775
T  143  2 .4642988E+07   7200191E-02  .1511E+03  .2400E+03   .9999893  .0046170 -.0000163
T  144  2 .4615960E+07   7200161E-02  .8987E+02 -.4473E+03   .9998553 -.0053226 -.0161554
T  145  2 .4640585E+07   7200144E-02 -.1704E+03 -.1794E+03   .9999848 -.0048586 -.0025985
T  146  2 .4642328E+07   7200095E-02  .1248E+03 -.1650E+03   .9999934  .0008826 -.0035265
T  147  2 .4640242E+07   7200150E-02  .1664E+03 -.5884E+02   .9999787  .0062669 -.0018241
T  148  2 .4654585E+07   7200003E-02 -.1373E+03  .9470E+02   .9999719 -.0072185  .0020371
T  149  2 .4638541E+07   7200186E-02  .5924E+02  .2221E+03   .9999931  .0001049  .0037103
T  150  2 .4658038E+07   7200062E-02  .2904E+03 -.2346E+03   .9998236 -.0057122 -.0178938
T  151  2 .4667751E+07   7200060E-02  .3604E+02  .6066E+03   .9999163 -.0006101  .0129253
T  152  2 .4664669E+07   7200075E-02 -.6397E+03 -.1362E+03   .9998282 -.0183807  .0023939
T  153  2 .4673339E+07   7200101E-02 -.9752E+02  .3358E+02   .9999459  .0087335  .0056584
T  154  2 .4663805E+07   7200106E-02 -.3127E+03  .9755E+02   .9999866 -.0009572 -.0050962
T  155  2 .4663346E+07   7200175E-02 -.9142E+02 -.1729E+03   .9999724 -.0048912 -.0055843
T  156  2 .4662914E+07   7200152E-02 -.1764E+03 -.6617E+01   .9999372 -.0049175 -.0100707
T  157  2 .4650554E+07   7200134E-02  .3391E+02  .7951E+02   .9999953 -.0016886 -.0025499
T  158  2 .4638013E+07   7200207E-02  .1582E+03 -.6729E+02   .9999804  .0047303  .0041101
T  159  2 .4634697E+07   7200136E-02  .1017E+03 -.1016E+03   .9999887  .0031103 -.0035871
T  160  2 .4640999E+07   7200191E-02  .1699E+03  .1352E+03   .9999715  .0019829  .0072835
T  161  2 .4628896E+07   7200106E-02 -.9433E+02  .4184E+03   .9999584 -.0050588  .0075959
T  162  2 .4619200E+07   7200197E-02  .1403E+03 -.1536E+03   .9998453  .0171466 -.0039114
T  163  2 .4633088E+07   7200090E-02  .8553E+02 -.1241E+03   .9999984 -.0017286 -.0004846
T  164  2 .4631067E+07   7200204E-02 -.1656E+03 -.2443E+03   .9999705 -.0020094 -.0074174
T  165  2 .4641933E+07   7200105E-02 -.8601E+02  .1589E+03   .9999806 -.0054213  .0030605
T  166  2 .4655699E+07   7200124E-02 -.3377E+03 -.9328E+01   .9999671 -.0080951  .0005564
T  167  2 .4641085E+07   7200054E-02 -.1601E+03 -.4039E+03   .9999518 -.0022158 -.0095675
T  168  2 .4659732E+07   7200143E-02  .4801E+02  .1968E+03   .9999694 -.0002743  .0078242
T  169  2 .4626090E+07   7200083E-02 -.3991E+02  .1136E+03   .9999647 -.0021841  .0081089
T  170  2 .4649501E+07   7200081E-02 -.1216E+04  .1507E+03   .9997725 -.0213244  .0003693
T  171  2 .4654647E+07   7200026E-02  .6245E+02 -.1210E+03   .9999229  .0087244  .0088379
T  172  2 .4672553E+07   7200092E-02  .4772E+03  .5546E+03   .9997752  .0152849  .0146928
T  173  2 .4674293E+07   7200056E-02 -.7226E+03  .1027E+03   .9996664 -.0258288  .0001915
T  174  2 .4643815E+07   7200072E-02 -.2214E+03  .2048E+03   .9999758 -.0005660  .0069390
T  175  2 .4637908E+07   7200187E-02 -.1820E+03 -.2558E+03   .9999843 -.0032652 -.0045622
T  176  2 .4608272E+07   7200141E-02 -.8383E+02  .4170E+03   .9999860 -.0025936  .0046015
T  177  2 .4647937E+07   7200100E-02  .4438E+02 -.3709E+03   .9999903  .0011736 -.0042495
T  178  2 .4658688E+07   7200133E-02  .1624E+03 -.1941E+03   .9999588  .0055304 -.0072002
T  179  2 .4650791E+07   7200112E-02  .7341E+02  .8602E+02   .9999884  .0039471 -.0027632
T  180  2 .4602989E+07   7200153E-02 -.1189E+04 -.9569E+03   .9937216 -.0773498 -.0808356
T  181  2 .4653593E+07   7200064E-02 -.1897E+03  .3081E+03   .9999505 -.0016417  .0098109
T  182  2 .4642012E+07   7200182E-02 -.3646E+03  .2721E+03   .9999494  .0004108  .0100503
T  183  2 .4613596E+07   7200178E-02 -.1362E+03 -.2158E+03   .9999626 -.0052751 -.0068524
T  184  2 .4672694E+07   7200151E-02  .6853E+03 -.1316E+02   .9999062  .0124073 -.0057972
T  185  2 .4654414E+07   7200203E-02 -.1097E+03  .5895E+02   .9999905 -.0037365  .0022294
T  186  2 .4661185E+07   7200109E-02  .1135E+03 -.2585E+03   .9999244 -.0022541 -.0120869
T  187  2 .4639477E+07   7200139E-02  .3092E+03  .9026E+02   .9999555  .0090987 -.0024883
T  188  2 .4661895E+07   7200180E-02  .1958E+03  .2119E+03   .9999754  .0024763  .0065574
T  189  2 .4635745E+07   7200210E-02 -.1234E+04  .1682E+04   .9992698 -.0178579  .0337788
T  190  2 .4645883E+07   7200201E-02 -.9145E+02  .1585E+03   .9999852 -.0032854  .0043271
T  191  2 .4643514E+07   7200095E-02  .7502E+02 -.5965E+02   .9999938  .0013561 -.0032427
T  192  2 .4652614E+07   7200059E-02 -.1769E+03  .2282E+03   .9999749 -.0036348  .0060738
