============================== SRIM-2008.04 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(5.48 MeV) ==> Mylar( 3.59 um) ==========================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  158  2 .5049561E+07   3600106E-02  .3614E+01  .7337E+02   .9999826 -.0023862  .0053961
T  159  2 .5066671E+07   3600164E-02 -.9809E+02 -.8610E+02   .9999809 -.0040242 -.0046977
T  160  2 .5087232E+07   3600002E-02  .4680E+02 -.4674E+02   .9999474  .0058041 -.0084548
T  161  2 .5084371E+07   3600091E-02 -.2987E+01  .1137E+03   .9999407 -.0014866  .0107849
T  162  2 .5097344E+07   3600132E-02 -.3308E+02 -.5798E+02   .9999918 -.0011928 -.0038711
T  163  2 .5109146E+07   3600031E-02  .4759E+02  .4506E+02   .9999717  .0069668 -.0028219
T  164  2 .5077772E+07   3600212E-02 -.1162E+02 -.1098E+02   .9999979  .0011554 -.0016989
T  165  2 .5088522E+07   3600177E-02  .2657E+02 -.9285E+02   .9999714  .0035883 -.0066509
T  166  2 .5081528E+07   3600064E-02 -.1010E+03  .2778E+02   .9999792 -.0060621  .0021817
T  167  2 .5075563E+07   3600211E-02  .5601E+02  .1411E+02   .9999975  .0021480 -.0005353
T  168  2 .5102056E+07   3600070E-02  .7975E+02 -.6932E+02   .9999712  .0059236 -.0047343
T  169  2 .5069154E+07   3600162E-02 -.6072E+02 -.5244E+02   .9999901 -.0035192 -.0027371
T  170  2 .5062745E+07   3600164E-02  .3602E+02 -.1339E+03   .9999661 -.0005013 -.0082151
